"KpiDataSourcePropID","CreatedDte","KpiDataSourceID","NfNameExpr","UpdatedDte","updated_by","created","updated"
3,1661843247,6,"coalesce(/labels/sdl, /labels/regstr, /labels/localdn, /labels/kubernetes_namespace, /labels/namespace)",1661843247,,"2025-06-03 10:14:33","2025-06-03 10:14:33"
3465,1661843275,10,"concat('corning-vcu-', padLeft(/GNB, 7, '0'))",1661843275,,"2025-06-03 10:14:33","2025-06-03 10:14:33"
3488,1661843275,9,"concat('samsungadpf', '-', padLeft(/GNB, 7, '0'))",1661843275,,"2025-06-03 10:14:33","2025-06-03 10:14:33"
3685,1661843276,8,"concat('samsungadpf', '-', padLeft(/GNB, 7, '0'), padLeft(/DU, 4, '0'))",1661843276,,"2025-06-03 10:14:33","2025-06-03 10:14:33"
3885,1661843277,4,"{[/event_dataset='kubernetes.pod'] -> /kubernetes_labels_release, [/event_dataset='kubernetes.container'] -> /kubernetes_labels_release, [/event_dataset='kubernetes.node'] -> /system_name}",1661843277,,"2025-06-03 10:14:33","2025-06-03 10:14:33"
4006,1661843278,3,"replace(replace(replace(/deviceName,'-VETAS-','W11VETAS'),'-vetas-','w11vetas'),'_','-')",1661843278,,"2025-06-03 10:14:33","2025-06-03 10:14:33"
6271,1661843296,2,"{[contains(/deviceName,'-ACPF-')] -> replace(replace(concat(substringBeforeLast(/deviceName,'-'),'-',padLeft(replaceRegex(substringAfterLast(/deviceName,'-'),'.$', ''), 8, '0')), 'ems-Affirmed: ', ''),'vGNB-Y-SA-ACPF-','VZWvGNB-Y-SA-ACPFP-'),[contains(/deviceName,'-AUPF-')] -> replace(replace(concat(substringBeforeLast(/deviceName,'-'),'-',padLeft(replaceRegex(substringAfterLast(/deviceName,'-'),'.$', ''), 8, '0')), 'ems-Affirmed: ', ''),'vGNB-Y-SA-AUPF-','VZWvGNB-Y-SA-AUPFP-'),[not(matchesRegex(/deviceName,'.*(-ACPF-|-AUPF-).*'))] ->  replace(/deviceName, 'ems-Affirmed: ', '')}",1661843296,,"2025-06-03 10:14:33","2025-06-03 10:14:33"
7848,1661843307,5,/source,1661843307,,"2025-06-03 10:14:33","2025-06-03 10:14:33"
7893,1661843307,1,/deviceName,1661843307,,"2025-06-03 10:14:33","2025-06-03 10:14:33"
7944,1661843307,7,/deviceName,1661843307,,"2025-06-03 10:14:33","2025-06-03 10:14:33"
7945,1675368215,11,"{[isBlank(/GNB)] -> concat('Ericsson', '-', 'Market' , '-',padLeft(/MARKET, 3, '0')), [not(isBlank(/GNB))] -> concat('Ericsson', '-', 'GNB' , '-',padLeft(/GNB, 7, '0'))}",1675368215,icpadmin,"2025-06-03 10:14:33","2025-06-03 10:14:33"
7946,1677769759,12,"{[not(isBlank(/VNFC_ID))] -> /AUPF,[not(isBlank(/GNB))][isBlank(/VNFC_ID)] -> concat(padLeft(/GNB, 7, '0'))}",1724752269,icpadmin,"2025-06-03 10:14:33","2025-06-03 10:14:33"
7947,1677769759,13,"{[not(isBlank(/VNFC_ID))] -> /ACPF,[not(isBlank(/GNB))][isBlank(/VNFC_ID)] -> concat(padLeft(/GNB, 7, '0'))}",1724752252,icpadmin,"2025-06-03 10:14:33","2025-06-03 10:14:33"
7948,1686855677,14,/deviceName,1686855677,icpadmin,"2025-06-03 10:14:33","2025-06-03 10:14:33"
7949,1689620125,15,"{[not(isBlank(/ENODEB))] -> concat('Ericsson', '-', 'ENB' , '-',padLeft(/ENODEB, 6, '0'))}",1689620125,icpadmin,"2025-06-03 10:14:33","2025-06-03 10:14:33"
7952,1689863371,19,"{[isBlank(/GNB)] -> concat('Ericsson', '-', 'Market' , '-',padLeft(/MARKET, 3, '0')), [not(isBlank(/GNB))] -> concat('Ericsson', '-', 'GNB' , '-',padLeft(/GNB, 7, '0'))}",1689863371,icpadmin,"2025-06-03 10:14:33","2025-06-03 10:14:33"
7953,1687938306,20,"{[isBlank(/GNB)] -> concat('Samsung', '-', 'Market' , '-',padLeft(/MARKET, 3, '0')), [not(isBlank(/GNB))] -> concat('samsungadpf', '-', padLeft(/GNB, 7, '0'), padLeft(/DU, 4, '0'))} ",1687938306,icpadmin,"2025-06-03 10:14:33","2025-06-03 10:14:33"
7954,1695146609,21,"{[/name='exec_vm_metrics'] -> /tags_vmLg__name, [/name='cpu'] ->/tags_host}",1695146637,zujkke8,"2025-06-03 10:14:33","2025-06-03 10:14:33"
7955,1697651190,22,"{[not(isBlank(/ENODEB))] -> concat('SEA_NOK', '-', 'ENB' , '-',padLeft(/ENODEB, 6, '0'))}",1697651238,ratwajo,"2025-06-03 10:14:33","2025-06-03 10:14:33"
7956,1711563622,23,"",1711563622,,"2025-06-03 10:14:33","2025-06-03 10:14:33"
7957,1724750862,24,"{[not(isBlank(/VNFC_ID))] -> /AUPF,[not(isBlank(/GNB))][isBlank(/VNFC_ID)] -> concat(padLeft(/GNB, 7, '0'))}",1724752288,icpadmin,"2025-06-03 10:14:33","2025-06-03 10:14:33"
7958,1724750920,25,"{[not(isBlank(/VNFC_ID))] -> /ACPF,[not(isBlank(/GNB))][isBlank(/VNFC_ID)] -> concat(padLeft(/GNB, 7, '0'))}",1724752304,icpadmin,"2025-06-03 10:14:33","2025-06-03 10:14:33"
7959,1725293512,26,"coalesce(/labels/sdl, /labels/regstr, /labels/localdn, /labels/kubernetes_namespace, /labels/namespace)",1725293538,icpadmin,"2025-06-03 10:14:33","2025-06-03 10:14:33"
7960,1725293608,27,"coalesce(/labels/sdl, /labels/regstr, /labels/localdn, /labels/kubernetes_namespace, /labels/namespace)",1725293631,icpadmin,"2025-06-03 10:14:33","2025-06-03 10:14:33"
7961,1725293701,28,"coalesce(/labels/sdl, /labels/regstr, /labels/localdn, /labels/kubernetes_namespace, /labels/namespace)",1725293725,icpadmin,"2025-06-03 10:14:33","2025-06-03 10:14:33"
7962,1741940633,29,"concat('monitoring', '-', padLeft(/GNB, 7, '0'), padLeft(/DU, 4, '0'))",1741966724,icpadmin,"2025-06-03 10:14:33","2025-06-03 10:14:33"
7963,1742301364,30,"",1742301364,,"2025-06-03 10:14:33","2025-06-03 10:14:33"
7964,1742302676,31,"",1742302676,,"2025-06-03 10:14:33","2025-06-03 10:14:33"
7965,1747638816,32,/kubernetes_namespace,1747638854,icpadmin,"2025-06-03 10:14:33","2025-06-03 10:14:33"
